2025-08-31T03:06:21.629Z | GET /api/performance/health | 200 | 3.54ms | ::1
2025-08-31T03:06:28.927Z | GET /api/performance | 200 | 1.23ms | ::1
2025-08-31T03:06:41.540Z | GET /api/health | 200 | 0.91ms | ::1
2025-08-31T03:06:41.545Z | GET /api/health | 200 | 0.32ms | ::1
2025-08-31T03:06:41.547Z | GET /api/health | 200 | 0.18ms | ::1
2025-08-31T03:06:41.549Z | GET /api/health | 200 | 0.21ms | ::1
2025-08-31T03:06:41.551Z | GET /api/health | 200 | 0.27ms | ::1
2025-08-31T03:06:41.628Z | GET /api/health | 200 | 0.22ms | ::1
2025-08-31T03:06:41.630Z | GET /api/health | 200 | 0.16ms | ::1
2025-08-31T03:06:41.631Z | GET /api/health | 200 | 0.18ms | ::1
2025-08-31T03:06:41.633Z | GET /api/health | 200 | 0.11ms | ::1
2025-08-31T03:06:41.634Z | GET /api/health | 200 | 0.17ms | ::1
2025-08-31T03:06:41.728Z | GET /api/health | 200 | 0.18ms | ::1
2025-08-31T03:06:41.729Z | GET /api/health | 200 | 0.08ms | ::1
2025-08-31T03:06:41.730Z | GET /api/health | 200 | 0.07ms | ::1
2025-08-31T03:06:41.731Z | GET /api/health | 200 | 0.1ms | ::1
2025-08-31T03:06:41.731Z | GET /api/health | 200 | 0.08ms | ::1
2025-08-31T03:06:41.828Z | GET /api/health | 200 | 0.17ms | ::1
2025-08-31T03:06:41.829Z | GET /api/health | 200 | 0.09ms | ::1
2025-08-31T03:06:41.830Z | GET /api/health | 200 | 0.08ms | ::1
2025-08-31T03:06:41.831Z | GET /api/health | 200 | 0.1ms | ::1
2025-08-31T03:06:41.831Z | GET /api/health | 200 | 0.08ms | ::1
2025-08-31T03:06:41.928Z | GET /api/health | 200 | 0.17ms | ::1
2025-08-31T03:06:41.929Z | GET /api/health | 200 | 0.1ms | ::1
2025-08-31T03:06:41.930Z | GET /api/health | 200 | 0.13ms | ::1
2025-08-31T03:06:41.931Z | GET /api/health | 200 | 0.08ms | ::1
2025-08-31T03:06:41.931Z | GET /api/health | 200 | 0.11ms | ::1
2025-08-31T03:06:42.028Z | GET /api/health | 200 | 0.17ms | ::1
2025-08-31T03:06:42.029Z | GET /api/health | 200 | 0.13ms | ::1
2025-08-31T03:06:42.030Z | GET /api/health | 200 | 0.1ms | ::1
2025-08-31T03:06:42.031Z | GET /api/health | 200 | 0.09ms | ::1
2025-08-31T03:06:42.031Z | GET /api/health | 200 | 0.1ms | ::1
2025-08-31T03:06:42.128Z | GET /api/health | 200 | 0.17ms | ::1
2025-08-31T03:06:42.129Z | GET /api/health | 200 | 0.1ms | ::1
2025-08-31T03:06:42.130Z | GET /api/health | 200 | 0.09ms | ::1
2025-08-31T03:06:42.131Z | GET /api/health | 200 | 0.09ms | ::1
2025-08-31T03:06:42.131Z | GET /api/health | 200 | 0.08ms | ::1
2025-08-31T03:06:42.228Z | GET /api/health | 200 | 0.25ms | ::1
2025-08-31T03:06:42.229Z | GET /api/health | 200 | 0.09ms | ::1
2025-08-31T03:06:42.230Z | GET /api/health | 200 | 0.11ms | ::1
2025-08-31T03:06:42.231Z | GET /api/health | 200 | 0.07ms | ::1
2025-08-31T03:06:42.231Z | GET /api/health | 200 | 0.07ms | ::1
2025-08-31T03:06:42.328Z | GET /api/health | 200 | 0.19ms | ::1
2025-08-31T03:06:42.329Z | GET /api/health | 200 | 0.08ms | ::1
2025-08-31T03:06:42.330Z | GET /api/health | 200 | 0.07ms | ::1
2025-08-31T03:06:42.330Z | GET /api/health | 200 | 0.1ms | ::1
2025-08-31T03:06:42.331Z | GET /api/health | 200 | 0.14ms | ::1
2025-08-31T03:06:42.429Z | GET /api/health | 200 | 0.17ms | ::1
2025-08-31T03:06:42.430Z | GET /api/health | 200 | 0.08ms | ::1
2025-08-31T03:06:42.431Z | GET /api/health | 200 | 0.07ms | ::1
2025-08-31T03:06:42.431Z | GET /api/health | 200 | 0.1ms | ::1
2025-08-31T03:06:42.432Z | GET /api/health | 200 | 0.08ms | ::1
2025-08-31T03:07:36.138Z | GET /api/performance | 200 | 0.54ms | ::1
2025-08-31T03:07:45.448Z | GET /api/performance | 200 | 0.31ms | ::1
2025-08-31T03:08:06.217Z | POST /api/performance/stress-test | 200 | 59.94ms | ::1
